time
47.815
54.234
13.493
6.943
4.716
4.192
2.751
1.441
12.052
29.344
55.937
55.675
56.985
58.164
59.212
61.177
62.094
61.832
64.452
66.286
67.727
71.657
75.194
74.277
72.705
71.395
72.05
72.705
73.229
73.884
